year,msa,offense_category,count
2005.0,"Asheville, NC M.S.A.",larceny_theft,8162.0
2005.0,"Asheville, NC M.S.A.",motor_vehicle_theft,1265.0
2005.0,"Asheville, NC M.S.A.",murder_and_nonnegligent_manslaughter,14.0
2005.0,"Asheville, NC M.S.A.",robbery,320.0
2005.0,"Athens-Clarke County, GA M.S.A.",aggravated_assault,294.0
2005.0,"Athens-Clarke County, GA M.S.A.",burglary,1322.0
2005.0,"Athens-Clarke County, GA M.S.A.",forcible_rape,46.0
2005.0,"Athens-Clarke County, GA M.S.A.",larceny_theft,5610.0
2005.0,"Athens-Clarke County, GA M.S.A.",motor_vehicle_theft,488.0
2005.0,"Athens-Clarke County, GA M.S.A.",murder_and_nonnegligent_manslaughter,5.0
2005.0,"Athens-Clarke County, GA M.S.A.",robbery,152.0
2005.0,"Atlanta-Sandy Springs-Marietta, GA M.S.A.",aggravated_assault,12710.0
2005.0,"Atlanta-Sandy Springs-Marietta, GA M.S.A.",burglary,44603.0
2005.0,"Atlanta-Sandy Springs-Marietta, GA M.S.A.",forcible_rape,1056.0
2005.0,"Atlanta-Sandy Springs-Marietta, GA M.S.A.",larceny_theft,121644.0
2005.0,"Atlanta-Sandy Springs-Marietta, GA M.S.A.",motor_vehicle_theft,28990.0
2005.0,"Atlanta-Sandy Springs-Marietta, GA M.S.A.",murder_and_nonnegligent_manslaughter,331.0
2005.0,"Atlanta-Sandy Springs-Marietta, GA M.S.A.",robbery,9348.0
2005.0,"Atlantic City, NJ M.S.A.",aggravated_assault,728.0
2005.0,"Atlantic City, NJ M.S.A.",burglary,1821.0
2005.0,"Atlantic City, NJ M.S.A.",forcible_rape,84.0
2005.0,"Atlantic City, NJ M.S.A.",larceny_theft,8472.0
2005.0,"Atlantic City, NJ M.S.A.",motor_vehicle_theft,463.0
2005.0,"Atlantic City, NJ M.S.A.",murder_and_nonnegligent_manslaughter,16.0
2005.0,"Atlantic City, NJ M.S.A.",robbery,562.0
2005.0,"Auburn-Opelika, AL M.S.A.",aggravated_assault,320.0
2005.0,"Auburn-Opelika, AL M.S.A.",burglary,1199.0
2005.0,"Auburn-Opelika, AL M.S.A.",forcible_rape,43.0
2005.0,"Auburn-Opelika, AL M.S.A.",larceny_theft,3811.0
2005.0,"Auburn-Opelika, AL M.S.A.",motor_vehicle_theft,244.0
2005.0,"Auburn-Opelika, AL M.S.A.",murder_and_nonnegligent_manslaughter,6.0
2005.0,"Auburn-Opelika, AL M.S.A.",robbery,115.0
2005.0,"Augusta-Richmond County, GA-SC M.S.A.",aggravated_assault,980.0
2005.0,"Augusta-Richmond County, GA-SC M.S.A.",burglary,4737.0
2005.0,"Augusta-Richmond County, GA-SC M.S.A.",forcible_rape,250.0
2005.0,"Augusta-Richmond County, GA-SC M.S.A.",larceny_theft,16261.0
2005.0,"Augusta-Richmond County, GA-SC M.S.A.",motor_vehicle_theft,2622.0
2005.0,"Augusta-Richmond County, GA-SC M.S.A.",murder_and_nonnegligent_manslaughter,27.0
2005.0,"Augusta-Richmond County, GA-SC M.S.A.",robbery,793.0
2005.0,"Austin-Round Rock, TX M.S.A.",aggravated_assault,3038.0
2005.0,"Austin-Round Rock, TX M.S.A.",burglary,11246.0
2005.0,"Austin-Round Rock, TX M.S.A.",forcible_rape,503.0
2005.0,"Austin-Round Rock, TX M.S.A.",larceny_theft,44647.0
2005.0,"Austin-Round Rock, TX M.S.A.",motor_vehicle_theft,3454.0
2005.0,"Austin-Round Rock, TX M.S.A.",murder_and_nonnegligent_manslaughter,42.0
2005.0,"Austin-Round Rock, TX M.S.A.",robbery,1387.0
2005.0,"Bakersfield, CA M.S.A.",aggravated_assault,2673.0
2005.0,"Bakersfield, CA M.S.A.",burglary,8472.0
2005.0,"Bakersfield, CA M.S.A.",forcible_rape,205.0
2005.0,"Bakersfield, CA M.S.A.",larceny_theft,19612.0
2005.0,"Bakersfield, CA M.S.A.",motor_vehicle_theft,5895.0
2005.0,"Bakersfield, CA M.S.A.",murder_and_nonnegligent_manslaughter,69.0
2005.0,"Bakersfield, CA M.S.A.",robbery,952.0
2005.0,"Baltimore-Towson, MD M.S.A.",aggravated_assault,14302.0
2005.0,"Baltimore-Towson, MD M.S.A.",burglary,18067.0
2005.0,"Baltimore-Towson, MD M.S.A.",forcible_rape,545.0
2005.0,"Baltimore-Towson, MD M.S.A.",larceny_theft,62167.0
2005.0,"Baltimore-Towson, MD M.S.A.",motor_vehicle_theft,11979.0
2005.0,"Baltimore-Towson, MD M.S.A.",murder_and_nonnegligent_manslaughter,338.0
2005.0,"Baltimore-Towson, MD M.S.A.",robbery,7077.0
2005.0,"Bangor, ME M.S.A.",aggravated_assault,75.0
2005.0,"Bangor, ME M.S.A.",burglary,780.0
2005.0,"Bangor, ME M.S.A.",forcible_rape,15.0
2005.0,"Bangor, ME M.S.A.",larceny_theft,3326.0
2005.0,"Bangor, ME M.S.A.",motor_vehicle_theft,138.0
2005.0,"Bangor, ME M.S.A.",murder_and_nonnegligent_manslaughter,0.0
2005.0,"Bangor, ME M.S.A.",robbery,33.0
2005.0,"Barnstable Town, MA M.S.A.",aggravated_assault,768.0
2005.0,"Barnstable Town, MA M.S.A.",burglary,1830.0
2005.0,"Barnstable Town, MA M.S.A.",forcible_rape,73.0
2005.0,"Barnstable Town, MA M.S.A.",larceny_theft,3102.0
2005.0,"Barnstable Town, MA M.S.A.",motor_vehicle_theft,302.0
2005.0,"Barnstable Town, MA M.S.A.",murder_and_nonnegligent_manslaughter,3.0
2005.0,"Barnstable Town, MA M.S.A.",robbery,67.0
2005.0,"Baton Rouge, LA M.S.A.",aggravated_assault,3433.0
2005.0,"Baton Rouge, LA M.S.A.",burglary,7383.0
2005.0,"Baton Rouge, LA M.S.A.",forcible_rape,215.0
2005.0,"Baton Rouge, LA M.S.A.",larceny_theft,23288.0
2005.0,"Baton Rouge, LA M.S.A.",motor_vehicle_theft,2711.0
2005.0,"Baton Rouge, LA M.S.A.",murder_and_nonnegligent_manslaughter,85.0
2005.0,"Baton Rouge, LA M.S.A.",robbery,1386.0
2005.0,"Battle Creek, MI M.S.A.",aggravated_assault,813.0
2005.0,"Battle Creek, MI M.S.A.",burglary,1146.0
2005.0,"Battle Creek, MI M.S.A.",forcible_rape,105.0
2005.0,"Battle Creek, MI M.S.A.",larceny_theft,4253.0
2005.0,"Battle Creek, MI M.S.A.",motor_vehicle_theft,306.0
2005.0,"Battle Creek, MI M.S.A.",murder_and_nonnegligent_manslaughter,7.0
2005.0,"Battle Creek, MI M.S.A.",robbery,143.0
2005.0,"Bay City, MI M.S.A.",aggravated_assault,181.0
2005.0,"Bay City, MI M.S.A.",burglary,654.0
2005.0,"Bay City, MI M.S.A.",forcible_rape,75.0
2005.0,"Bay City, MI M.S.A.",larceny_theft,2098.0
2005.0,"Bay City, MI M.S.A.",motor_vehicle_theft,190.0
2005.0,"Bay City, MI M.S.A.",murder_and_nonnegligent_manslaughter,1.0
2005.0,"Bay City, MI M.S.A.",robbery,50.0
2005.0,"Beaumont-Port Arthur, TX M.S.A.",aggravated_assault,1365.0
2005.0,"Beaumont-Port Arthur, TX M.S.A.",burglary,4848.0
2005.0,"Beaumont-Port Arthur, TX M.S.A.",forcible_rape,176.0
2005.0,"Beaumont-Port Arthur, TX M.S.A.",larceny_theft,11400.0
2005.0,"Beaumont-Port Arthur, TX M.S.A.",motor_vehicle_theft,1283.0
2005.0,"Beaumont-Port Arthur, TX M.S.A.",murder_and_nonnegligent_manslaughter,30.0
2005.0,"Beaumont-Port Arthur, TX M.S.A.",robbery,561.0
2005.0,"Bellingham, WA M.S.A.",aggravated_assault,260.0
2005.0,"Bellingham, WA M.S.A.",burglary,1754.0
2005.0,"Bellingham, WA M.S.A.",forcible_rape,72.0
2005.0,"Bellingham, WA M.S.A.",larceny_theft,7174.0
2005.0,"Bellingham, WA M.S.A.",motor_vehicle_theft,596.0
2005.0,"Bellingham, WA M.S.A.",murder_and_nonnegligent_manslaughter,5.0
2005.0,"Bellingham, WA M.S.A.",robbery,82.0
2005.0,"Bend, OR M.S.A.",aggravated_assault,200.0
2005.0,"Bend, OR M.S.A.",burglary,1111.0
2005.0,"Bend, OR M.S.A.",forcible_rape,53.0
2005.0,"Bend, OR M.S.A.",larceny_theft,4387.0
2005.0,"Bend, OR M.S.A.",motor_vehicle_theft,475.0
2005.0,"Bend, OR M.S.A.",murder_and_nonnegligent_manslaughter,4.0
2005.0,"Bend, OR M.S.A.",robbery,34.0
2005.0,"Bethesda-Gaithersburg-Frederick, MD M.D.",aggravated_assault,1466.0
2005.0,"Bethesda-Gaithersburg-Frederick, MD M.D.",burglary,4401.0
2005.0,"Bethesda-Gaithersburg-Frederick, MD M.D.",forcible_rape,187.0
2005.0,"Bethesda-Gaithersburg-Frederick, MD M.D.",larceny_theft,19161.0
2005.0,"Bethesda-Gaithersburg-Frederick, MD M.D.",motor_vehicle_theft,2868.0
2005.0,"Bethesda-Gaithersburg-Frederick, MD M.D.",murder_and_nonnegligent_manslaughter,22.0
2005.0,"Bethesda-Gaithersburg-Frederick, MD M.D.",robbery,1257.0
2005.0,"Billings, MT M.S.A.1",aggravated_assault,215.0
2005.0,"Billings, MT M.S.A.1",burglary,797.0
2005.0,"Billings, MT M.S.A.1",forcible_rape,43.0
2005.0,"Billings, MT M.S.A.1",larceny_theft,5467.0
2005.0,"Billings, MT M.S.A.1",motor_vehicle_theft,426.0
2005.0,"Billings, MT M.S.A.1",murder_and_nonnegligent_manslaughter,5.0
2005.0,"Billings, MT M.S.A.1",robbery,54.0
2005.0,"Binghamton, NY M.S.A.",aggravated_assault,270.0
2005.0,"Binghamton, NY M.S.A.",burglary,869.0
2005.0,"Binghamton, NY M.S.A.",forcible_rape,56.0
2005.0,"Binghamton, NY M.S.A.",larceny_theft,5244.0
2005.0,"Binghamton, NY M.S.A.",motor_vehicle_theft,127.0
2005.0,"Binghamton, NY M.S.A.",murder_and_nonnegligent_manslaughter,8.0
