year,month,day,metric,count
2018,1,2,Adjustment of Public Debt Transactions to Cash Basis::Transactions::Public Debt Cash Issues::Hope Bonds (-),0
2018,1,2,Adjustment of Public Debt Transactions to Cash Basis::Transactions::Public Debt Cash Issues::Interest Increment on United States Savings Securities (-),471
2018,1,2,Adjustment of Public Debt Transactions to Cash Basis::Transactions::Public Debt Cash Issues::Inflation-Protected Securities Increment,-81
2018,1,2,Adjustment of Public Debt Transactions to Cash Basis::Transactions::Public Debt Cash Issues::Total Public Debt Cash Issues Deposited in Federal Reserve Account,99975
2018,1,2,Adjustment of Public Debt Transactions to Cash Basis::Transactions::Public Debt Cash Redemptions::Public Debt Redemptions (Table III-A),368852
2018,1,2,Adjustment of Public Debt Transactions to Cash Basis::Transactions::Public Debt Cash Redemptions::Premium on Debt Buyback Operation,0
2018,1,2,Adjustment of Public Debt Transactions to Cash Basis::Transactions::Public Debt Cash Redemptions::Discount on Debt Buyback Operation (-),0
2018,1,2,Adjustment of Public Debt Transactions to Cash Basis::Transactions::Public Debt Cash Redemptions::Federal Financing Bank (-),0
2018,1,2,Adjustment of Public Debt Transactions to Cash Basis::Transactions::Public Debt Cash Redemptions::Government Account Transactions (-),233462
2018,1,2,Adjustment of Public Debt Transactions to Cash Basis::Transactions::Public Debt Cash Redemptions::Hope Bonds (-),0
2018,1,2,Adjustment of Public Debt Transactions to Cash Basis::Transactions::Public Debt Cash Redemptions::Total Public Debt Cash Redemptions Withdrawn from Federal Reserve Acct.,135390
2018,1,2,Debt Subject to Limit::Balance Transactions::Debt Held by the Public::Closing balance,14832792
2018,1,2,Debt Subject to Limit::Balance Transactions::Intragovernmental Holdings::Closing balance,5659807
2018,1,2,Debt Subject to Limit::Balance Transactions::Total Public Debt Outstanding::Closing balance,20492599
2018,1,2,Debt Subject to Limit::Balance Transactions::Less: Debt Not Subject to Limit::Other Debt::Closing balance,481
2018,1,2,Debt Subject to Limit::Balance Transactions::Less: Debt Not Subject to Limit::Unamortized Discount::Closing balance,24686
2018,1,2,Debt Subject to Limit::Balance Transactions::Less: Debt Not Subject to Limit::Federal Financing Bank::Closing balance,11457
2018,1,2,Debt Subject to Limit::Balance Transactions::Less: Debt Not Subject to Limit::Hope Bonds::Closing balance,0
2018,1,2,Debt Subject to Limit::Balance Transactions::Plus: Other Debt Subject to Limit Guaranteed Debt of Government Agencies::Closing balance,0
2018,1,2,Debt Subject to Limit::Balance Transactions::Total Public Debt Subject to Limit::Closing balance,20455975
2018,1,2,Debt Subject to Limit::Balance Transactions::Statutory Debt Limit::Closing balance,20456000
2018,1,2,Debt Subject to Limit::Balance Transactions::Debt Held by the Public::Opening balance,14814721
2018,1,2,Debt Subject to Limit::Balance Transactions::Intragovernmental Holdings::Opening balance,5678025
2018,1,2,Debt Subject to Limit::Balance Transactions::Total Public Debt Outstanding::Opening balance,20492747
2018,1,2,Debt Subject to Limit::Balance Transactions::Less: Debt Not Subject to Limit::Other Debt::Opening balance,481
2018,1,2,Debt Subject to Limit::Balance Transactions::Less: Debt Not Subject to Limit::Unamortized Discount::Opening balance,24834
2018,1,2,Debt Subject to Limit::Balance Transactions::Less: Debt Not Subject to Limit::Federal Financing Bank::Opening balance,11457
2018,1,2,Debt Subject to Limit::Balance Transactions::Less: Debt Not Subject to Limit::Hope Bonds::Opening balance,0
2018,1,2,Debt Subject to Limit::Balance Transactions::Plus: Other Debt Subject to Limit Guaranteed Debt of Government Agencies::Opening balance,0
2018,1,2,Debt Subject to Limit::Balance Transactions::Total Public Debt Subject to Limit::Opening balance,20455975
2018,1,2,Debt Subject to Limit::Balance Transactions::Statutory Debt Limit::Opening balance,20456000
2018,1,2,Federal Tax Deposits::Classification::Withheld Income and Employment Taxes,46295
2018,1,2,Federal Tax Deposits::Classification::Individual Income Taxes,760
2018,1,2,Federal Tax Deposits::Classification::Railroad Retirement Taxes,30
2018,1,2,Federal Tax Deposits::Classification::Excise Taxes,51
2018,1,2,Federal Tax Deposits::Classification::Corporation Income Taxes,195
2018,1,2,Federal Tax Deposits::Classification::Federal Unemployment Taxes,11
2018,1,2,Federal Tax Deposits::Classification::Estate and Gift Taxes & Misc IRS Rcpts.,4
2018,1,2,Federal Tax Deposits::Classification::Total,47347
2018,1,2,Federal Tax Deposits::Classification::Cash Federal Tax Deposits::Direct,25
2018,1,2,Federal Tax Deposits::Classification::Cash Federal Tax Deposits::Through Depositaries,45546
2018,1,2,Federal Tax Deposits::Classification::Cash Federal Tax Deposits::Total Cash FTD's,45571
2018,1,2,Federal Tax Deposits::Classification::Inter-agency Transfers,1776
