year,month,day,category,count
2005,1,13,DRUNK / ALCOHOL / DRUGS,5
2005,1,13,DRUNK DRIVING VEHICLE / BOAT,8
2005,1,13,FEDERAL OFFENSES WITH MONEY,1
2005,1,13,FELONIES MISCELLANEOUS,10
2005,1,13,FORCIBLE RAPE,1
2005,1,13,FORGERY,12
2005,1,13,FRAUD AND NSF CHECKS,24
2005,1,13,GRAND THEFT AUTO,60
2005,1,13,LARCENY THEFT,108
2005,1,13,LIQUOR LAWS,12
2005,1,13,MISDEMEANORS MISCELLANEOUS,4
2005,1,13,NARCOTICS,67
2005,1,13,NON-AGGRAVATED ASSAULTS,29
2005,1,13,RECEIVING STOLEN PROPERTY,2
2005,1,13,ROBBERY,17
2005,1,13,SEX OFFENSES FELONIES,1
2005,1,13,SEX OFFENSES MISDEMEANORS,3
2005,1,13,VANDALISM,46
2005,1,13,VEHICLE / BOATING LAWS,76
2005,1,13,WARRANTS,3
2005,1,13,WEAPON LAWS,7
2005,1,14,AGGRAVATED ASSAULT,23
2005,1,14,ARSON,2
2005,1,14,BURGLARY,45
2005,1,14,CRIMINAL HOMICIDE,1
2005,1,14,DISORDERLY CONDUCT,1
2005,1,14,DRUNK / ALCOHOL / DRUGS,6
2005,1,14,DRUNK DRIVING VEHICLE / BOAT,12
2005,1,14,FEDERAL OFFENSES WITH MONEY,1
2005,1,14,FELONIES MISCELLANEOUS,10
2005,1,14,FORCIBLE RAPE,3
2005,1,14,FORGERY,7
2005,1,14,FRAUD AND NSF CHECKS,22
2005,1,14,GRAND THEFT AUTO,54
2005,1,14,LARCENY THEFT,90
2005,1,14,MISDEMEANORS MISCELLANEOUS,12
2005,1,14,NARCOTICS,60
2005,1,14,NON-AGGRAVATED ASSAULTS,29
2005,1,14,OFFENSES AGAINST FAMILY,1
2005,1,14,ROBBERY,19
2005,1,14,SEX OFFENSES FELONIES,10
2005,1,14,SEX OFFENSES MISDEMEANORS,40
2005,1,14,VAGRANCY,4
2005,1,14,VANDALISM,41
2005,1,14,VEHICLE / BOATING LAWS,86
2005,1,14,WARRANTS,5
2005,1,14,WEAPON LAWS,13
2005,1,15,AGGRAVATED ASSAULT,31
2005,1,15,ARSON,4
2005,1,15,BURGLARY,42
2005,1,15,CRIMINAL HOMICIDE,3
2005,1,15,DISORDERLY CONDUCT,5
2005,1,15,DRUNK / ALCOHOL / DRUGS,2
2005,1,15,DRUNK DRIVING VEHICLE / BOAT,11
2005,1,15,FEDERAL OFFENSES WITH MONEY,1
2005,1,15,FELONIES MISCELLANEOUS,10
2005,1,15,FORCIBLE RAPE,5
2005,1,15,FORGERY,9
2005,1,15,FRAUD AND NSF CHECKS,26
2005,1,15,GRAND THEFT AUTO,52
2005,1,15,LARCENY THEFT,98
2005,1,15,LIQUOR LAWS,4
2005,1,15,MISDEMEANORS MISCELLANEOUS,14
2005,1,15,NARCOTICS,40
