year,month,day,UCR CRIME CATEGORY,count
2016,2,9,DRUG OFFENSE,17
2016,2,9,LARCENY-THEFT,68
2016,2,9,MOTOR VEHICLE THEFT,16
2016,2,9,MURDER AND NON-NEGLIGENT MANSLAUGHTER,2
2016,2,9,RAPE,2
2016,2,9,ROBBERY,4
2016,2,10,AGGRAVATED ASSAULT,10
2016,2,10,BURGLARY,28
2016,2,10,DRUG OFFENSE,17
2016,2,10,LARCENY-THEFT,103
2016,2,10,MOTOR VEHICLE THEFT,10
2016,2,10,RAPE,2
2016,2,10,ROBBERY,7
2016,2,11,AGGRAVATED ASSAULT,9
2016,2,11,BURGLARY,26
2016,2,11,DRUG OFFENSE,19
2016,2,11,LARCENY-THEFT,91
2016,2,11,MOTOR VEHICLE THEFT,16
2016,2,11,RAPE,1
2016,2,11,ROBBERY,5
2016,2,12,AGGRAVATED ASSAULT,10
2016,2,12,BURGLARY,42
2016,2,12,DRUG OFFENSE,13
2016,2,12,LARCENY-THEFT,86
2016,2,12,MOTOR VEHICLE THEFT,17
2016,2,12,RAPE,1
2016,2,12,ROBBERY,4
2016,2,13,AGGRAVATED ASSAULT,9
2016,2,13,BURGLARY,24
2016,2,13,DRUG OFFENSE,7
2016,2,13,LARCENY-THEFT,77
2016,2,13,MOTOR VEHICLE THEFT,15
2016,2,13,MURDER AND NON-NEGLIGENT MANSLAUGHTER,1
2016,2,13,RAPE,3
2016,2,13,ROBBERY,6
2016,2,14,AGGRAVATED ASSAULT,13
2016,2,14,BURGLARY,21
2016,2,14,DRUG OFFENSE,5
2016,2,14,LARCENY-THEFT,78
2016,2,14,MOTOR VEHICLE THEFT,14
2016,2,14,ROBBERY,8
2016,2,15,AGGRAVATED ASSAULT,4
2016,2,15,BURGLARY,23
2016,2,15,DRUG OFFENSE,4
2016,2,15,LARCENY-THEFT,83
2016,2,15,MOTOR VEHICLE THEFT,14
2016,2,15,RAPE,2
2016,2,15,ROBBERY,4
2016,2,16,AGGRAVATED ASSAULT,16
2016,2,16,ARSON,1
2016,2,16,BURGLARY,32
2016,2,16,DRUG OFFENSE,17
2016,2,16,LARCENY-THEFT,70
2016,2,16,MOTOR VEHICLE THEFT,20
2016,2,16,ROBBERY,6
2016,2,17,AGGRAVATED ASSAULT,12
2016,2,17,BURGLARY,34
2016,2,17,DRUG OFFENSE,10
2016,2,17,LARCENY-THEFT,77
2016,2,17,MOTOR VEHICLE THEFT,19
2016,2,17,MURDER AND NON-NEGLIGENT MANSLAUGHTER,1
2016,2,17,RAPE,1
2016,2,17,ROBBERY,9
2016,2,18,AGGRAVATED ASSAULT,9
2016,2,18,BURGLARY,33
2016,2,18,DRUG OFFENSE,20
2016,2,18,LARCENY-THEFT,91
2016,2,18,MOTOR VEHICLE THEFT,19
2016,2,18,MURDER AND NON-NEGLIGENT MANSLAUGHTER,2
2016,2,18,RAPE,3
2016,2,18,ROBBERY,8
2016,2,19,AGGRAVATED ASSAULT,9
2016,2,19,BURGLARY,28
2016,2,19,DRUG OFFENSE,17
2016,2,19,LARCENY-THEFT,96
2016,2,19,MOTOR VEHICLE THEFT,19
2016,2,19,RAPE,3
2016,2,19,ROBBERY,6
2016,2,20,AGGRAVATED ASSAULT,13
2016,2,20,BURGLARY,25
2016,2,20,DRUG OFFENSE,9
2016,2,20,LARCENY-THEFT,104
2016,2,20,MOTOR VEHICLE THEFT,21
2016,2,20,MURDER AND NON-NEGLIGENT MANSLAUGHTER,1
2016,2,20,RAPE,2
2016,2,20,ROBBERY,13
2016,2,21,AGGRAVATED ASSAULT,8
2016,2,21,BURGLARY,13
2016,2,21,DRUG OFFENSE,8
2016,2,21,LARCENY-THEFT,77
2016,2,21,MOTOR VEHICLE THEFT,23
2016,2,21,RAPE,2
2016,2,21,ROBBERY,3
2016,2,22,AGGRAVATED ASSAULT,6
2016,2,22,ARSON,2
2016,2,22,BURGLARY,34
2016,2,22,DRUG OFFENSE,9
2016,2,22,LARCENY-THEFT,79
2016,2,22,MOTOR VEHICLE THEFT,22
2016,2,22,ROBBERY,6
2016,2,23,AGGRAVATED ASSAULT,8
2016,2,23,BURGLARY,32
2016,2,23,DRUG OFFENSE,8
2016,2,23,LARCENY-THEFT,90
2016,2,23,MOTOR VEHICLE THEFT,26
2016,2,23,MURDER AND NON-NEGLIGENT MANSLAUGHTER,4
2016,2,23,RAPE,1
2016,2,23,ROBBERY,3
2016,2,24,AGGRAVATED ASSAULT,9
2016,2,24,BURGLARY,38
2016,2,24,DRUG OFFENSE,15
2016,2,24,LARCENY-THEFT,81
2016,2,24,MOTOR VEHICLE THEFT,15
2016,2,24,ROBBERY,12
2016,2,25,AGGRAVATED ASSAULT,11
2016,2,25,BURGLARY,28
2016,2,25,DRUG OFFENSE,18
2016,2,25,LARCENY-THEFT,94
2016,2,25,MOTOR VEHICLE THEFT,16
2016,2,25,RAPE,3
2016,2,25,ROBBERY,5
2016,2,26,AGGRAVATED ASSAULT,8
2016,2,26,ARSON,1
2016,2,26,BURGLARY,32
2016,2,26,DRUG OFFENSE,14
2016,2,26,LARCENY-THEFT,78
2016,2,26,MOTOR VEHICLE THEFT,20
2016,2,26,RAPE,3
2016,2,26,ROBBERY,5
2016,2,27,AGGRAVATED ASSAULT,13
2016,2,27,BURGLARY,19
2016,2,27,DRUG OFFENSE,11
2016,2,27,LARCENY-THEFT,87
2016,2,27,MOTOR VEHICLE THEFT,12
2016,2,27,RAPE,4
2016,2,27,ROBBERY,4
2016,2,28,AGGRAVATED ASSAULT,11
2016,2,28,BURGLARY,24
