year,month,day,OFFENSE,count
2008,2,7,ASSAULT W/DANGEROUS WEAPON,5
2008,2,7,BURGLARY,16
2008,2,7,MOTOR VEHICLE THEFT,11
2008,2,7,ROBBERY,9
2008,2,7,THEFT/OTHER,42
2008,2,8,ARSON,1
2008,2,8,ASSAULT W/DANGEROUS WEAPON,5
2008,2,8,BURGLARY,3
2008,2,8,HOMICIDE,1
2008,2,8,MOTOR VEHICLE THEFT,12
2008,2,8,ROBBERY,13
2008,2,8,THEFT/OTHER,56
2008,2,9,ASSAULT W/DANGEROUS WEAPON,11
2008,2,9,BURGLARY,7
2008,2,9,MOTOR VEHICLE THEFT,13
2008,2,9,ROBBERY,13
2008,2,9,SEX ABUSE,2
2008,2,9,THEFT/OTHER,48
2008,2,10,ASSAULT W/DANGEROUS WEAPON,10
2008,2,10,BURGLARY,6
2008,2,10,HOMICIDE,1
2008,2,10,MOTOR VEHICLE THEFT,10
2008,2,10,ROBBERY,11
2008,2,10,THEFT/OTHER,52
2008,2,11,ASSAULT W/DANGEROUS WEAPON,6
2008,2,11,BURGLARY,11
2008,2,11,MOTOR VEHICLE THEFT,14
2008,2,11,ROBBERY,4
2008,2,11,THEFT/OTHER,48
2008,2,12,ASSAULT W/DANGEROUS WEAPON,6
2008,2,12,BURGLARY,10
2008,2,12,MOTOR VEHICLE THEFT,12
2008,2,12,ROBBERY,9
2008,2,12,THEFT/OTHER,36
2008,2,13,ASSAULT W/DANGEROUS WEAPON,4
2008,2,13,BURGLARY,10
2008,2,13,MOTOR VEHICLE THEFT,12
2008,2,13,ROBBERY,4
2008,2,13,THEFT/OTHER,34
2008,2,14,ASSAULT W/DANGEROUS WEAPON,6
2008,2,14,BURGLARY,10
2008,2,14,MOTOR VEHICLE THEFT,8
2008,2,14,ROBBERY,5
2008,2,14,THEFT/OTHER,38
2008,2,15,ASSAULT W/DANGEROUS WEAPON,13
2008,2,15,BURGLARY,9
2008,2,15,MOTOR VEHICLE THEFT,11
2008,2,15,ROBBERY,9
2008,2,15,THEFT/OTHER,44
2008,2,16,ASSAULT W/DANGEROUS WEAPON,11
2008,2,16,BURGLARY,8
2008,2,16,MOTOR VEHICLE THEFT,9
2008,2,16,ROBBERY,12
2008,2,16,SEX ABUSE,1
2008,2,16,THEFT/OTHER,44
2008,2,17,ARSON,1
2008,2,17,ASSAULT W/DANGEROUS WEAPON,8
2008,2,17,BURGLARY,6
2008,2,17,HOMICIDE,1
2008,2,17,MOTOR VEHICLE THEFT,18
2008,2,17,ROBBERY,10
2008,2,17,SEX ABUSE,1
2008,2,17,THEFT/OTHER,42
2008,2,18,ASSAULT W/DANGEROUS WEAPON,8
2008,2,18,BURGLARY,3
