,year,month,day,category,count
266,2017,1,23,drug possession,22
267,2017,1,23,drunk in public,6
268,2017,1,23,fraud,7
269,2017,1,23,illegal conceal or carry of weapon,1
270,2017,1,23,"illegal sales, manufacture, or transport",6
271,2017,1,23,motor vehicle theft,55
272,2017,1,23,other,26
273,2017,1,23,"sex crimes, not child-related",4
274,2017,1,23,theft,70
275,2017,1,23,vandalism,20
276,2017,1,23,weapon-related crime,1
277,2017,1,24,arson,1
278,2017,1,24,assault,8
279,2017,1,24,battery,19
280,2017,1,24,burglary,49
281,2017,1,24,child-related crimes,1
282,2017,1,24,disorderly conduct,6
283,2017,1,24,driving under the influence,9
284,2017,1,24,drug possession,25
285,2017,1,24,drunk in public,14
286,2017,1,24,fraud,5
287,2017,1,24,illegal conceal or carry of weapon,4
288,2017,1,24,"illegal sales, manufacture, or transport",2
289,2017,1,24,motor vehicle theft,34
290,2017,1,24,other,25
291,2017,1,24,"sex crimes, not child-related",3
292,2017,1,24,theft,77
293,2017,1,24,vandalism,13
294,2017,1,24,weapon-related crime,3
295,2017,1,25,arson,3
296,2017,1,25,assault,12
297,2017,1,25,battery,27
298,2017,1,25,burglary,51
299,2017,1,25,child-related crimes,6
300,2017,1,25,disorderly conduct,4
301,2017,1,25,driving under the influence,7
302,2017,1,25,drug possession,37
303,2017,1,25,drunk in public,6
304,2017,1,25,fraud,6
305,2017,1,25,illegal conceal or carry of weapon,6
306,2017,1,25,"illegal sales, manufacture, or transport",4
307,2017,1,25,motor vehicle theft,36
308,2017,1,25,other,36
309,2017,1,25,"sex crimes, not child-related",4
310,2017,1,25,theft,93
311,2017,1,25,vandalism,16
312,2017,1,25,weapon-related crime,2
313,2017,1,26,assault,10
314,2017,1,26,attempted murder,1
315,2017,1,26,battery,23
316,2017,1,26,burglary,58
317,2017,1,26,child-related crimes,1
318,2017,1,26,disorderly conduct,2
319,2017,1,26,driving under the influence,10
320,2017,1,26,drug possession,31
321,2017,1,26,drunk in public,14
322,2017,1,26,fraud,5
323,2017,1,26,illegal conceal or carry of weapon,4
324,2017,1,26,"illegal sales, manufacture, or transport",6
325,2017,1,26,motor vehicle theft,32
326,2017,1,26,other,21
327,2017,1,26,"sex crimes, not child-related",6
328,2017,1,26,theft,80
329,2017,1,26,vandalism,19
330,2017,1,27,assault,8
331,2017,1,27,attempted murder,1
332,2017,1,27,battery,27
333,2017,1,27,burglary,52
334,2017,1,27,child-related crimes,2
335,2017,1,27,disorderly conduct,6
336,2017,1,27,driving under the influence,15
337,2017,1,27,drug possession,48
338,2017,1,27,drunk in public,8
339,2017,1,27,fraud,4
340,2017,1,27,"illegal sales, manufacture, or transport",3
341,2017,1,27,motor vehicle theft,56
342,2017,1,27,other,32
343,2017,1,27,"sex crimes, not child-related",25
344,2017,1,27,theft,91
345,2017,1,27,vandalism,29
346,2017,1,27,weapon-related crime,1
347,2017,1,28,arson,2
348,2017,1,28,assault,10
349,2017,1,28,battery,24
350,2017,1,28,burglary,46
351,2017,1,28,child-related crimes,3
352,2017,1,28,disorderly conduct,8
353,2017,1,28,driving under the influence,21
