,year,month,day,category,count
224,2016,10,20,"sex crimes, not child-related",6
225,2016,10,20,theft,80
226,2016,10,20,vandalism,27
227,2016,10,20,weapon-related crime,2
228,2016,10,21,arson,2
229,2016,10,21,assault,16
230,2016,10,21,battery,18
231,2016,10,21,burglary,56
232,2016,10,21,child-related crimes,2
233,2016,10,21,disorderly conduct,3
234,2016,10,21,driving under the influence,13
235,2016,10,21,drug possession,44
236,2016,10,21,drunk in public,13
237,2016,10,21,fraud,3
238,2016,10,21,illegal conceal or carry of weapon,5
239,2016,10,21,"illegal sales, manufacture, or transport",11
240,2016,10,21,motor vehicle theft,42
241,2016,10,21,other,29
242,2016,10,21,"sex crimes, not child-related",2
243,2016,10,21,theft,93
244,2016,10,21,vandalism,32
245,2016,10,21,weapon-related crime,2
246,2016,10,22,arson,4
247,2016,10,22,assault,12
248,2016,10,22,battery,20
249,2016,10,22,burglary,54
250,2016,10,22,child-related crimes,1
251,2016,10,22,disorderly conduct,6
252,2016,10,22,driving under the influence,23
253,2016,10,22,drug possession,23
254,2016,10,22,drunk in public,25
255,2016,10,22,fraud,1
256,2016,10,22,illegal conceal or carry of weapon,5
257,2016,10,22,motor vehicle theft,39
258,2016,10,22,murder,1
259,2016,10,22,other,33
260,2016,10,22,"sex crimes, not child-related",6
261,2016,10,22,theft,72
262,2016,10,22,vandalism,27
263,2016,10,22,weapon-related crime,1
264,2016,10,23,assault,16
265,2016,10,23,battery,31
266,2016,10,23,burglary,49
267,2016,10,23,child-related crimes,2
268,2016,10,23,disorderly conduct,6
269,2016,10,23,driving under the influence,22
270,2016,10,23,drug possession,18
271,2016,10,23,drunk in public,12
272,2016,10,23,fraud,2
273,2016,10,23,illegal conceal or carry of weapon,6
274,2016,10,23,"illegal sales, manufacture, or transport",1
275,2016,10,23,motor vehicle theft,33
276,2016,10,23,other,33
277,2016,10,23,"sex crimes, not child-related",3
278,2016,10,23,theft,51
279,2016,10,23,vandalism,26
280,2016,10,23,weapon-related crime,1
281,2016,10,24,assault,5
282,2016,10,24,battery,13
283,2016,10,24,burglary,43
284,2016,10,24,child-related crimes,4
285,2016,10,24,disorderly conduct,5
286,2016,10,24,driving under the influence,5
287,2016,10,24,drug possession,30
288,2016,10,24,drunk in public,15
289,2016,10,24,fraud,5
290,2016,10,24,illegal conceal or carry of weapon,1
291,2016,10,24,"illegal sales, manufacture, or transport",3
292,2016,10,24,motor vehicle theft,50
293,2016,10,24,other,38
294,2016,10,24,"sex crimes, not child-related",4
295,2016,10,24,theft,73
296,2016,10,24,vandalism,20
297,2016,10,24,weapon-related crime,1
298,2016,10,25,assault,10
299,2016,10,25,battery,23
300,2016,10,25,burglary,51
301,2016,10,25,child-related crimes,1
302,2016,10,25,disorderly conduct,2
303,2016,10,25,driving under the influence,10
304,2016,10,25,drug possession,60
305,2016,10,25,drunk in public,13
306,2016,10,25,fraud,6
307,2016,10,25,illegal conceal or carry of weapon,3
308,2016,10,25,"illegal sales, manufacture, or transport",7
309,2016,10,25,motor vehicle theft,36
310,2016,10,25,murder,1
311,2016,10,25,other,29
312,2016,10,25,"sex crimes, not child-related",7
313,2016,10,25,theft,75
314,2016,10,25,vandalism,19
315,2016,10,25,weapon-related crime,3
316,2016,10,26,arson,1
317,2016,10,26,assault,11
318,2016,10,26,attempted murder,2
319,2016,10,26,battery,25
320,2016,10,26,burglary,47
321,2016,10,26,child-related crimes,4
322,2016,10,26,disorderly conduct,5
323,2016,10,26,driving under the influence,5
324,2016,10,26,drug possession,57
325,2016,10,26,drunk in public,14
326,2016,10,26,fraud,8
327,2016,10,26,illegal conceal or carry of weapon,2
328,2016,10,26,"illegal sales, manufacture, or transport",7
329,2016,10,26,motor vehicle theft,34
330,2016,10,26,murder,1
331,2016,10,26,other,25
332,2016,10,26,"sex crimes, not child-related",8
333,2016,10,26,theft,82
334,2016,10,26,vandalism,19
335,2016,10,26,weapon-related crime,1
336,2016,10,27,arson,1
337,2016,10,27,assault,8
338,2016,10,27,attempted murder,1
339,2016,10,27,battery,27
340,2016,10,27,burglary,44
341,2016,10,27,child-related crimes,1
342,2016,10,27,disorderly conduct,3
343,2016,10,27,driving under the influence,10
344,2016,10,27,drug possession,55
345,2016,10,27,drunk in public,14
346,2016,10,27,fraud,3
347,2016,10,27,illegal conceal or carry of weapon,4
348,2016,10,27,"illegal sales, manufacture, or transport",4
349,2016,10,27,motor vehicle theft,27
350,2016,10,27,other,32
351,2016,10,27,"sex crimes, not child-related",5
352,2016,10,27,theft,80
353,2016,10,27,vandalism,24
354,2016,10,27,weapon-related crime,8
355,2016,10,28,assault,13
356,2016,10,28,attempted murder,1
357,2016,10,28,battery,24
358,2016,10,28,burglary,69
359,2016,10,28,child-related crimes,3
360,2016,10,28,disorderly conduct,6
361,2016,10,28,driving under the influence,11
362,2016,10,28,drug possession,60
363,2016,10,28,drunk in public,12
364,2016,10,28,fraud,10
365,2016,10,28,illegal conceal or carry of weapon,3
366,2016,10,28,"illegal sales, manufacture, or transport",3
367,2016,10,28,motor vehicle theft,36
368,2016,10,28,other,50
369,2016,10,28,"sex crimes, not child-related",2
370,2016,10,28,theft,74
371,2016,10,28,vandalism,37
372,2016,10,28,weapon-related crime,3
373,2016,10,29,arson,1
374,2016,10,29,assault,8
375,2016,10,29,battery,42
376,2016,10,29,burglary,60
377,2016,10,29,disorderly conduct,9
378,2016,10,29,driving under the influence,24
379,2016,10,29,drug possession,38
380,2016,10,29,drunk in public,13
381,2016,10,29,fraud,3
382,2016,10,29,illegal conceal or carry of weapon,9
383,2016,10,29,"illegal sales, manufacture, or transport",3
384,2016,10,29,motor vehicle theft,35
385,2016,10,29,other,34
386,2016,10,29,"sex crimes, not child-related",7
387,2016,10,29,theft,100
388,2016,10,29,vandalism,22
389,2016,10,29,weapon-related crime,2
390,2016,10,3,assault,10
391,2016,10,3,attempted murder,1
392,2016,10,3,battery,20
393,2016,10,3,burglary,49
394,2016,10,3,disorderly conduct,7
395,2016,10,3,driving under the influence,9
396,2016,10,3,drug possession,30
397,2016,10,3,drunk in public,12
398,2016,10,3,fraud,8
399,2016,10,3,illegal conceal or carry of weapon,1
400,2016,10,3,"illegal sales, manufacture, or transport",2
401,2016,10,3,motor vehicle theft,39
402,2016,10,3,murder,1
403,2016,10,3,other,27
404,2016,10,3,"sex crimes, not child-related",4
405,2016,10,3,theft,79
406,2016,10,3,vandalism,22
407,2016,10,3,weapon-related crime,3
408,2016,10,30,arson,1
409,2016,10,30,assault,14
410,2016,10,30,attempted murder,1
411,2016,10,30,battery,32
412,2016,10,30,burglary,41
413,2016,10,30,child-related crimes,2
414,2016,10,30,disorderly conduct,7
415,2016,10,30,driving under the influence,30
416,2016,10,30,drug possession,18
417,2016,10,30,drunk in public,15
418,2016,10,30,fraud,1
419,2016,10,30,illegal conceal or carry of weapon,3
420,2016,10,30,motor vehicle theft,33
421,2016,10,30,other,36
422,2016,10,30,"sex crimes, not child-related",6
423,2016,10,30,theft,75
424,2016,10,30,vandalism,21
425,2016,10,31,assault,9
426,2016,10,31,attempted murder,1
427,2016,10,31,battery,38
428,2016,10,31,burglary,43
429,2016,10,31,child-related crimes,4
430,2016,10,31,disorderly conduct,5
431,2016,10,31,driving under the influence,9
432,2016,10,31,drug possession,38
433,2016,10,31,drunk in public,11
434,2016,10,31,fraud,8
435,2016,10,31,illegal conceal or carry of weapon,6
436,2016,10,31,"illegal sales, manufacture, or transport",1
437,2016,10,31,motor vehicle theft,38
438,2016,10,31,other,40
439,2016,10,31,"sex crimes, not child-related",6
440,2016,10,31,theft,68
441,2016,10,31,vandalism,43
442,2016,10,31,weapon-related crime,5
443,2016,10,4,arson,1
444,2016,10,4,assault,12
445,2016,10,4,battery,17
446,2016,10,4,burglary,46
447,2016,10,4,child-related crimes,5
448,2016,10,4,disorderly conduct,2
449,2016,10,4,driving under the influence,9
450,2016,10,4,drug possession,43
451,2016,10,4,drunk in public,13
452,2016,10,4,fraud,5
453,2016,10,4,illegal conceal or carry of weapon,8
454,2016,10,4,"illegal sales, manufacture, or transport",3
455,2016,10,4,motor vehicle theft,42
456,2016,10,4,murder,2
457,2016,10,4,other,35
458,2016,10,4,"sex crimes, not child-related",5
459,2016,10,4,theft,68
460,2016,10,4,vandalism,20
461,2016,10,4,weapon-related crime,6
462,2016,10,5,arson,1
463,2016,10,5,assault,10
464,2016,10,5,battery,20
465,2016,10,5,burglary,46
466,2016,10,5,child-related crimes,2
467,2016,10,5,disorderly conduct,4
468,2016,10,5,driving under the influence,14
469,2016,10,5,drug possession,57
470,2016,10,5,drunk in public,10
471,2016,10,5,fraud,2
472,2016,10,5,illegal conceal or carry of weapon,2
473,2016,10,5,"illegal sales, manufacture, or transport",3
474,2016,10,5,motor vehicle theft,41
475,2016,10,5,other,40
476,2016,10,5,"sex crimes, not child-related",2
477,2016,10,5,theft,78
478,2016,10,5,vandalism,16
479,2016,10,5,weapon-related crime,1
480,2016,10,6,assault,11
481,2016,10,6,battery,10
482,2016,10,6,burglary,47
483,2016,10,6,child-related crimes,2
484,2016,10,6,disorderly conduct,4
485,2016,10,6,driving under the influence,9
486,2016,10,6,drug possession,43
487,2016,10,6,drunk in public,9
488,2016,10,6,fraud,5
489,2016,10,6,illegal conceal or carry of weapon,3
490,2016,10,6,"illegal sales, manufacture, or transport",3
491,2016,10,6,motor vehicle theft,47
492,2016,10,6,other,39
493,2016,10,6,"sex crimes, not child-related",8
494,2016,10,6,theft,89
495,2016,10,6,vandalism,30
496,2016,10,6,weapon-related crime,1
497,2016,10,7,assault,10
498,2016,10,7,attempted murder,1
499,2016,10,7,battery,28
500,2016,10,7,burglary,60
501,2016,10,7,child-related crimes,4
502,2016,10,7,disorderly conduct,8
503,2016,10,7,driving under the influence,13
504,2016,10,7,drug possession,46
505,2016,10,7,drunk in public,13
506,2016,10,7,fraud,6
507,2016,10,7,illegal conceal or carry of weapon,9
508,2016,10,7,"illegal sales, manufacture, or transport",2
509,2016,10,7,motor vehicle theft,44
510,2016,10,7,other,34
511,2016,10,7,"sex crimes, not child-related",4
512,2016,10,7,theft,84
513,2016,10,7,vandalism,25
514,2016,10,7,weapon-related crime,6
515,2016,10,8,arson,3
516,2016,10,8,assault,15
517,2016,10,8,attempted murder,1
518,2016,10,8,battery,16
519,2016,10,8,burglary,36
520,2016,10,8,child-related crimes,3
521,2016,10,8,disorderly conduct,15
522,2016,10,8,driving under the influence,22
523,2016,10,8,drug possession,25
524,2016,10,8,drunk in public,17
525,2016,10,8,fraud,3
526,2016,10,8,illegal conceal or carry of weapon,1
527,2016,10,8,"illegal sales, manufacture, or transport",2
528,2016,10,8,motor vehicle theft,47
529,2016,10,8,other,29
530,2016,10,8,"sex crimes, not child-related",4
531,2016,10,8,theft,72
532,2016,10,8,vandalism,34
533,2016,10,9,arson,1
534,2016,10,9,assault,8
535,2016,10,9,attempted murder,1
536,2016,10,9,battery,20
537,2016,10,9,burglary,43
538,2016,10,9,disorderly conduct,8
539,2016,10,9,driving under the influence,13
540,2016,10,9,drug possession,41
541,2016,10,9,drunk in public,20
542,2016,10,9,fraud,3
543,2016,10,9,illegal conceal or carry of weapon,7
544,2016,10,9,"illegal sales, manufacture, or transport",1
545,2016,10,9,motor vehicle theft,40
546,2016,10,9,murder,1
547,2016,10,9,other,28
548,2016,10,9,"sex crimes, not child-related",7
549,2016,10,9,theft,66
550,2016,10,9,vandalism,25
551,2016,10,9,weapon-related crime,1
552,2016,11,1,arson,2
553,2016,11,1,assault,11
554,2016,11,1,battery,39
555,2016,11,1,burglary,44
556,2016,11,1,child-related crimes,2
557,2016,11,1,disorderly conduct,6
558,2016,11,1,driving under the influence,11
559,2016,11,1,drug possession,37
560,2016,11,1,drunk in public,11
561,2016,11,1,fraud,12
562,2016,11,1,illegal conceal or carry of weapon,2
563,2016,11,1,"illegal sales, manufacture, or transport",6
564,2016,11,1,motor vehicle theft,32
565,2016,11,1,other,44
566,2016,11,1,"sex crimes, not child-related",8
567,2016,11,1,theft,73
568,2016,11,1,vandalism,21
569,2016,11,1,weapon-related crime,3
570,2016,11,10,arson,1
571,2016,11,10,assault,14
572,2016,11,10,battery,19
573,2016,11,10,burglary,41
574,2016,11,10,child-related crimes,4
575,2016,11,10,disorderly conduct,8
576,2016,11,10,driving under the influence,11
577,2016,11,10,drug possession,40
578,2016,11,10,drunk in public,14
579,2016,11,10,fraud,3
580,2016,11,10,illegal conceal or carry of weapon,2
581,2016,11,10,"illegal sales, manufacture, or transport",1
582,2016,11,10,motor vehicle theft,42
583,2016,11,10,other,39
584,2016,11,10,"sex crimes, not child-related",6
585,2016,11,10,theft,57
586,2016,11,10,vandalism,37
587,2016,11,10,weapon-related crime,4
588,2016,11,11,arson,1
589,2016,11,11,assault,14
590,2016,11,11,battery,18
591,2016,11,11,burglary,61
592,2016,11,11,child-related crimes,1
593,2016,11,11,disorderly conduct,3
594,2016,11,11,driving under the influence,18
595,2016,11,11,drug possession,35
596,2016,11,11,drunk in public,16
597,2016,11,11,fraud,4
598,2016,11,11,illegal conceal or carry of weapon,3
599,2016,11,11,"illegal sales, manufacture, or transport",4
600,2016,11,11,motor vehicle theft,56
601,2016,11,11,other,30
602,2016,11,11,"sex crimes, not child-related",6
603,2016,11,11,theft,70
604,2016,11,11,vandalism,53
605,2016,11,11,weapon-related crime,3
606,2016,11,12,arson,3
607,2016,11,12,assault,19
608,2016,11,12,battery,29
609,2016,11,12,burglary,41
610,2016,11,12,child-related crimes,2
611,2016,11,12,disorderly conduct,4
612,2016,11,12,driving under the influence,23
613,2016,11,12,drug possession,26
614,2016,11,12,drunk in public,19
615,2016,11,12,fraud,1
616,2016,11,12,illegal conceal or carry of weapon,2
617,2016,11,12,"illegal sales, manufacture, or transport",2
618,2016,11,12,motor vehicle theft,32
619,2016,11,12,other,22
620,2016,11,12,"sex crimes, not child-related",4
621,2016,11,12,theft,69
622,2016,11,12,vandalism,32
623,2016,11,12,weapon-related crime,2
624,2016,11,13,arson,2
625,2016,11,13,assault,10
626,2016,11,13,attempted murder,1
627,2016,11,13,battery,23
628,2016,11,13,burglary,56
629,2016,11,13,disorderly conduct,10
630,2016,11,13,driving under the influence,18
631,2016,11,13,drug possession,24
632,2016,11,13,drunk in public,22
633,2016,11,13,illegal conceal or carry of weapon,3
634,2016,11,13,motor vehicle theft,35
635,2016,11,13,murder,1
636,2016,11,13,other,30
637,2016,11,13,"sex crimes, not child-related",5
638,2016,11,13,theft,68
639,2016,11,13,vandalism,22
640,2016,11,14,arson,1
641,2016,11,14,assault,11
642,2016,11,14,attempted murder,1
643,2016,11,14,battery,17
644,2016,11,14,burglary,40
645,2016,11,14,child-related crimes,1
646,2016,11,14,driving under the influence,6
647,2016,11,14,drug possession,24
648,2016,11,14,drunk in public,13
649,2016,11,14,fraud,4
650,2016,11,14,illegal conceal or carry of weapon,1
651,2016,11,14,motor vehicle theft,40
652,2016,11,14,other,39
653,2016,11,14,"sex crimes, not child-related",5
654,2016,11,14,theft,73
655,2016,11,14,vandalism,25
656,2016,11,15,arson,1
657,2016,11,15,assault,7
658,2016,11,15,battery,20
659,2016,11,15,burglary,54
660,2016,11,15,child-related crimes,4
661,2016,11,15,disorderly conduct,5
662,2016,11,15,driving under the influence,13
663,2016,11,15,drug possession,41
664,2016,11,15,drunk in public,13
665,2016,11,15,fraud,8
666,2016,11,15,illegal conceal or carry of weapon,4
667,2016,11,15,"illegal sales, manufacture, or transport",1
668,2016,11,15,motor vehicle theft,38
669,2016,11,15,other,43
670,2016,11,15,"sex crimes, not child-related",4
671,2016,11,15,theft,79
672,2016,11,15,vandalism,31
673,2016,11,16,assault,8
674,2016,11,16,battery,16
675,2016,11,16,burglary,49
676,2016,11,16,child-related crimes,4
677,2016,11,16,disorderly conduct,1
678,2016,11,16,driving under the influence,8
679,2016,11,16,drug possession,36
680,2016,11,16,drunk in public,4
681,2016,11,16,fraud,7
682,2016,11,16,illegal conceal or carry of weapon,1
683,2016,11,16,"illegal sales, manufacture, or transport",1
684,2016,11,16,motor vehicle theft,44
685,2016,11,16,murder,1
686,2016,11,16,other,34
687,2016,11,16,"sex crimes, not child-related",2
688,2016,11,16,theft,68
689,2016,11,16,vandalism,26
690,2016,11,16,weapon-related crime,3
691,2016,11,17,arson,4
692,2016,11,17,assault,15
693,2016,11,17,battery,11
694,2016,11,17,burglary,36
695,2016,11,17,child-related crimes,1
696,2016,11,17,disorderly conduct,4
